property,classifier,accuracy,precision,recall,f1
9,Random Forest,0.6623423860329777,0.6883263009845288,0.5933559650824443,0.6373225680427139
9,Logistic Regression,0.6446411251212415,0.643492903536204,0.6486420950533462,0.6460572394638329
9,Naive Bayes,0.6127546071774975,0.6119402985074627,0.61639185257032,0.6141580091809616
9,K-NN,0.5499515033947624,0.5408244153785177,0.6617361784675073,0.5952017448200654
9,Gradient Boosting,0.6873181377303589,0.7005972474681901,0.6542192046556741,0.6766144200626959
9,AdaBoost,0.6560378273520854,0.6502451552650012,0.6753152279340446,0.6625431188295468
9,Decision Tree,0.5880213385063046,0.586100569259962,0.5991755577109602,0.5925659472422062
9,Perceptron,0.5009699321047527,0.5004860267314702,0.9987875848690592,0.6668285575522098
9,SGD,0.5201260911736179,0.5105196451204056,0.976721629485936,0.6705510238055602
9,Bagging,0.683074684772066,0.6938880328710837,0.6551891367604268,0.6739835370416563
9,Extra Trees,0.662827352085354,0.680365296803653,0.6142095053346266,0.6455970434560979
9,CatBoost,0.6985935984481086,0.7034277198211625,0.6867119301648884,0.6949693251533743
9,LightGBM,0.7013821532492726,0.7099873577749684,0.6808923375363725,0.695135536576309
9,XGBoost,0.6852570320077594,0.6878996556812592,0.6782250242483027,0.683028083028083
10,SVM,0.7287827352085354,0.7204954428604814,0.7475751697381183,0.7337855527787694
10,Random Forest,0.812560620756547,0.8255050505050505,0.7926770126091174,0.8087580405739733
10,Logistic Regression,0.6665858389912707,0.6627190904784462,0.6784675072744908,0.6705008387251378
10,Naive Bayes,0.6178467507274491,0.6137108095460927,0.6360329776915616,0.6246725410812098
10,K-NN,0.5995392822502424,0.5998540501094625,0.5979631425800194,0.5989071038251366
10,Gradient Boosting,0.8191076624636275,0.8477801268498943,0.7778855480116392,0.8113302984319676
10,AdaBoost,0.7884335596508244,0.8149324861000794,0.7463627546071775,0.7791418807745855
10,Decision Tree,0.7423617846750727,0.7379195429659605,0.7516973811833172,0.7447447447447447
10,Perceptron,0.5,0.5,1.0,0.6666666666666666
10,SGD,0.6248787584869059,0.7450047573739296,0.3797284190106692,0.5030517185994218
10,Bagging,0.831474296799224,0.8476602238046795,0.80819592628516,0.8274577954319762
10,Extra Trees,0.7626091173617847,0.7911290322580645,0.7136275460717749,0.7503824579296278
10,CatBoost,0.8600872938894277,0.875189489641233,0.8399612027158099,0.8572135609997525
10,LightGBM,0.8484481086323957,0.8603309929789368,0.8319592628516004,0.8459072978303748
10,XGBoost,0.853055286129971,0.8652784746613146,0.8363239573229874,0.8505548705302096
11,SVM,0.7735208535402521,0.783987915407855,0.7550921435499515,0.7692687747035574
11,Random Forest,0.8126818622696411,0.8315762406788377,0.7841901066925315,0.8071883189816548
11,Logistic Regression,0.7438166828322017,0.7508106759790472,0.7298739088263821,0.7401942702569777
11,Naive Bayes,0.6939864209505334,0.6984126984126984,0.6828322017458778,0.6905345757724375
11,K-NN,0.6515518913676043,0.7170138888888888,0.5007274490785645,0.5896630496858938
11,Gradient Boosting,0.8280795344325897,0.852711157455683,0.7931619786614937,0.8218592964824121
11,AdaBoost,0.7961930164888458,0.8048415273271774,0.782007759456838,0.7932603615791416
11,Decision Tree,0.7355722599418041,0.7364322219518131,0.7337536372453928,0.7350904894935018
11,Perceptron,0.7227206595538312,0.7667731629392971,0.6401551891367604,0.6977666182106516
11,SGD,0.6377303588748787,0.5859044162129462,0.9393792434529583,0.7216840536512668
11,Bagging,0.8388700290979632,0.865359477124183,0.8026188166828322,0.8328091583847025
11,Extra Trees,0.7934044616876819,0.8108941418293937,0.7652764306498545,0.7874251497005988
11,CatBoost,0.8636032977691561,0.8729171847799055,0.8511154219204655,0.861878453038674
11,LightGBM,0.8549951503394763,0.8678391959798994,0.8375363724539282,0.8524185587364265
11,XGBoost,0.8598448108632396,0.8678730788299455,0.8489330746847721,0.8582986025986762
12,SVM,0.6966537342386033,0.7033600802407222,0.680164888457808,0.6915680473372781
12,Random Forest,0.7908583899127061,0.8127770534550196,0.7558195926285161,0.7832642291745194
12,Logistic Regression,0.6436711930164889,0.6442658875091307,0.6416100872938895,0.6429352448062204
12,Naive Bayes,0.5657129000969933,0.5948879551820728,0.41197866149369544,0.48681948424068766
12,K-NN,0.5432832201745877,0.5324015247776366,0.7112027158098934,0.6089484065192567
12,Gradient Boosting,0.8182589718719689,0.8378378378378378,0.789282250242483,0.8128355599950056
12,AdaBoost,0.7873423860329777,0.7937530986613783,0.7764306498545102,0.7849963226280952
12,Decision Tree,0.7088991270611057,0.7025628967787444,0.7245392822502424,0.7133818789542796
12,Perceptron,0.5795344325897187,0.5499087035909921,0.876333656644035,0.6757666417352282
12,SGD,0.6291222114451989,0.6834309335170513,0.481086323957323,0.5646790949195959
12,Bagging,0.8172890397672163,0.8658093374336036,0.7509699321047527,0.8043111284248798
12,Extra Trees,0.737027158098933,0.7489177489177489,0.7131425800193987,0.7305924729847224
12,CatBoost,0.8526915615906887,0.865544106559437,0.8351115421920465,0.8500555349870418
12,LightGBM,0.8463870029097963,0.8667522464698331,0.8186226964112512,0.8420002494076568
12,XGBoost,0.8465082444228904,0.8581453634085213,0.8302618816682832,0.8439733793443431
13,SVM,0.7883123181377304,0.7817535545023697,0.7999515033947624,0.7907478427612655
13,Random Forest,0.800800193986421,0.8293071409609769,0.7575169738118331,0.7917881130401724
13,Logistic Regression,0.7384820562560621,0.7341109259700072,0.7478176527643065,0.7409009009009009
13,Naive Bayes,0.6330019398642095,0.6268794818413139,0.6571290009699321,0.641647922339292
13,K-NN,0.6427012609117362,0.6412287017038637,0.6479146459747818,0.6445543360270173
13,Gradient Boosting,0.809529582929195,0.83671854391981,0.7691561590688651,0.8015161086544536
13,AdaBoost,0.783462657613967,0.7960992907801419,0.7621241513094084,0.7787413280475719
13,Decision Tree,0.7325412221144519,0.7303073967339097,0.7373908826382153,0.7338320463320464
13,Perceptron,0.6811348205625606,0.8120300751879699,0.4713870029097963,0.5965019944768334
13,SGD,0.7143549951503395,0.6637037037037037,0.8690591658583899,0.75262494750105
13,Bagging,0.8267458777885548,0.8567646280116494,0.7846750727449079,0.8191368181242881
13,Extra Trees,0.7782492725509215,0.7876660817247431,0.7618816682832201,0.7745593491926538
13,CatBoost,0.8522065955383124,0.865776882397381,0.8336566440349176,0.8494132180358246
13,LightGBM,0.8414161008729389,0.8575418994413407,0.8188651794374394,0.8377573803026545
13,XGBoost,0.8461445198836082,0.8571428571428571,0.8307468477206595,0.8437384558551903
14,SVM,0.6144519883608147,0.6102803738317757,0.6333656644034917,0.6216087577344122
14,Random Forest,0.7634578079534433,0.777522349936143,0.7381183317167799,0.7573081229008584
14,Logistic Regression,0.5882638215324927,0.5854059127170342,0.6049951503394763,0.5950393512997854
14,Naive Bayes,0.5868089233753637,0.581772498857926,0.6176042677012609,0.5991531404375441
14,K-NN,0.5384335596508244,0.5332354791360873,0.6166343355965083,0.5719104913977285
14,Gradient Boosting,0.8091658583899127,0.8231120121642169,0.7875848690591658,0.8049566294919455
14,AdaBoost,0.7748545101842871,0.7978975032851511,0.7361784675072744,0.76579644343549
14,Decision Tree,0.69774490785645,0.6905819116616032,0.716537342386033,0.7033202427704391
14,Perceptron,0.5,0.0,0.0,0.0
14,SGD,0.49987875848690594,0.0,0.0,0.0
14,Bagging,0.8063773035887488,0.8659136982334202,0.7250242483026188,0.7892305661871453
14,Extra Trees,0.7249030067895247,0.7342763324071735,0.704898157129001,0.7192873932945688
14,CatBoost,0.8491755577109602,0.8603603603603603,0.8336566440349176,0.8467980295566503
14,LightGBM,0.8454170708050437,0.8666666666666667,0.8164403491755577,0.8408040953926832
14,XGBoost,0.8446896217264791,0.8565337346375721,0.8280795344325897,0.842066329675749
15,SVM,0.8031037827352085,0.7977608384945212,0.8120756547041708,0.8048546022590723
15,Random Forest,0.811105722599418,0.8054761904761905,0.8203200775945684,0.8128303700144162
15,Logistic Regression,0.7521823472356935,0.7389705882352942,0.7798254122211445,0.7588485134497405
15,Naive Bayes,0.6423375363724539,0.6410379625180201,0.646944713870029,0.643977793869177
15,K-NN,0.6606450048496605,0.6772812416376773,0.6137245392822502,0.6439384302251622
15,Gradient Boosting,0.8091658583899127,0.80634310427679,0.8137730358874878,0.8100410330678253
15,AdaBoost,0.7816440349175557,0.7823972769268174,0.7803103782735209,0.7813524341386427
15,Decision Tree,0.710717749757517,0.7069047619047619,0.7199321047526673,0.713358962037482
